Review	Liked
i will be home by 6.  come pick up the jersey early so you can get your ass  kicked at madden.	0
monday lunch 1230 wasnt too crowded large menu with a good selection sides like sweet potato fries spicy potato salad were both good great sandwiches at reasonable price very good beer selection and offer a beer flight of current on tap look forward to an evening meal to try the entree menu	1
Generally; it just lacked imagination.	2
A greasy, unhealthy meal.	2
I'm really disappointed all I have now is a charger that doesn't work.	2
i have to be in denver that weekend for a family function.  what about labor  day?  we could go that fri & sat night and fly back sun.  we would have  monday off to recover.  lsu is playing some schmeg team any way.  there will  be more cougars in vegas o	0
I love my kindle thanks honey	1
An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).	1
come hungry i made arrangements for a family dinner for my husbands birthday here last night weve been wanting to try it for the longest time and between the churrascarias that ive been to in shanghai brazil and ca this may very well be one of my tops the side bar actually has interesting items from your typical salad bar aside from the meat with side bar option you can just go for the side bar where the only meats available with that option is prosciutto salami anchovies and smoked trout we also ordered the tres leches cake which was just right the service food atmosphere are all solid to me and id recommend it to any meat lover looking to kill it ayce style	1
Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.	2
I would give this television series a 10 plus if i could.	1
The vegetables are so fresh and the sauce feels like authentic Thai.	1
you say brister could make the all decade team throwing to rice and young  couldn't?  that is not saying much for your boy.  he is better than brister,  just not elway.	0
ohhh sooo good i literally went here everyday for an entire week when i first found out about it the philly cheese steaks are amazing dont bother getting it with mushrooms because you end up paying extra money for like 5 slices of mushroom also make sure you get it with cheez whiz yeah i know i was wary of it too but i decided to give it a go and wow it makes a difference they also offer american and provolone but neither of them stand a chance against the whiz they also have a little pepper bar with different kinds of peppers i usually get the big jalapeno slices but dont add too many theyre arent spicy at all but it takes away from the flavor of the meatcheesebread if you want spice i recommend some sriracha sauce on that steak it adds the perfect kick just know that i am extremely biased towards sriracha sauce haha ive also had the crispy chicken sandwich which was equally as good as the cheese steak for days when you feel like something different its like a high quality version of the tendercrisp at bk dont let that description steer you away cuz it really is good it comes on hoagie bread with a huge slab of freshly fried chicken mayo lettuce tomatos and onions also do not i repeat do not forget to get some garlic fries they are so good for only 2 you get an entire box full 50 extra for ranch which i say is a must have with garlic fries this place is also one of the very few places in berkeley that actually takes discover yay they also take amex for those of you who like to use that make sure you dont around lunch time cuz it is packed you cant move an inch without bumping into at least 6 people ive found that the best time is to go around 2 or 3pm when its completely empty	1
Never again will I be dining at this place!	2
lsu is only a 10 point dog.  it is hard not to want to take tenn.  i might  take tenn and call it a hedge.	0
It really comes in handy!!!!	1
The California AG and PUC have petitioned FERC to vacate its order approving PG&E's recent reorganization. Obviously by this reorganization, PG&E is attempting to shield its assets in the event of a bankruptcy. I'm wondering if we should become active in this case, to protect our interests in the event of a bankruptcy.	0
i love love their mocha frap im a big frap fan so i wish they had more choices for that you know how coffee nowadays is all filled with sugar and creme and etcand thats all you can taste well the coffee you can actually tastes the coffee you can taste the bitterness of it and though i do not like bitter tasting thingsi enjoyed this onevery autheniccoffee yum done just right the couches were all occupied when i came here but they looked comfy anyway good atmosphere good coffeewhat more could you ask for just hope they had more selection in the frap department	1
Just consider the excellent story, solid acting and look of the film as added bonuses.	1
